rank,noun,similarity_logit,probability
1,rice fields,26.884375,0.31313202
2,hill sunset,26.781841,0.2826167
3,sunset,25.804071,0.106306
4,fields sunset,25.797565,0.10561662
5,hill sea,24.876534,0.04204682
6,sea rice,24.755661,0.03725966
7,fields sun,24.459555,0.02771032
8,top hill,23.937271,0.016436778
9,hill,23.736298,0.013444201
10,rice,23.729544,0.013353706
11,sun,23.526487,0.010899725
12,fields,23.353025,0.009163936
13,include rice,23.241568,0.008197407
14,sea,23.039078,0.0066947793
15,shows,21.84405,0.0020264788
16,top,21.766869,0.0018759569
17,include,21.148203,0.0010105079
18,shows woman,20.69627,0.00064308406
19,woman top,20.670254,0.00062656926
20,woman,20.62996,0.00060182373
21,objects include,19.446587,0.00018430504
22,objects,19.25811,0.0001526451
