rank,noun,similarity_logit,probability
1,front statue,24.920471,0.22351795
2,include statue,24.903,0.21964672
3,statue,24.829735,0.20412965
4,man,23.933317,0.08329077
5,shows man,23.74557,0.069033355
6,statue elephant,23.630571,0.061534125
7,man front,23.480291,0.052948087
8,shows,22.737188,0.025184
9,objects include,21.935532,0.011297168
10,objects,21.903515,0.010941199
11,include,21.742758,0.009316419
12,lion,21.644796,0.008447046
13,elephant,21.553263,0.007708189
14,front,21.51293,0.007403482
15,snake,20.52356,0.0027526943
16,elephant lion,20.251686,0.0020974171
17,lion snake,19.22545,0.0007516166
