rank,noun,similarity_logit,probability
1,bamboo sticks,28.14383,0.4036321
2,bamboo structure,27.796795,0.28527948
3,bamboo poles,26.69487,0.09477868
4,include bamboo,26.681084,0.093481
5,front bamboo,25.730972,0.03614891
6,bamboo,25.40637,0.026128968
7,sticks bamboo,25.356102,0.02484798
8,sticks,25.110693,0.019440673
9,woman,23.76188,0.005045796
10,shows woman,23.647465,0.0045002783
11,woman front,22.927166,0.0021898663
12,structure,22.36394,0.0012468417
13,poles,22.185637,0.0010432189
14,shows,21.73985,0.00066799374
15,objects,21.5001,0.00052559393
16,objects include,21.370424,0.0004616717
17,include,21.247723,0.00040836132
18,front,20.386555,0.00017260133
