epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate
1,0.1313716133239029,0.539568345323741,0.24710576094243847,0.12802175737971025,0.6906474820143885,0.4757046269143044,0.0002
2,0.1098592764825272,0.5035971223021583,0.28642865045743887,0.12519899782516974,0.7482014388489209,0.4646012027999606,0.0002
3,0.10821258741692244,0.5971223021582733,0.3539812954689642,0.09963611116726621,0.8920863309352518,0.5549637023593466,0.0002
4,0.06619032515253094,0.7302158273381295,0.4365450361604208,0.09002459327951609,0.7913669064748201,0.5279584582648226,0.0002
5,0.032798474078341355,0.7697841726618705,0.6419344966804655,0.11289755348786176,0.8776978417266187,0.5904621581934357,0.0002
6,0.031890537053775446,0.8219424460431655,0.616655985788811,0.08499499713238194,0.8848920863309353,0.6053551762114537,0.0002
7,0.020999948581238444,0.8669064748201439,0.7579162256972427,0.08443489050988456,0.8920863309352518,0.595721653365457,0.0002
8,0.011120841754667408,0.8794964028776978,0.7617935383057192,0.10687672819191818,0.9136690647482014,0.6194324712643678,0.0002
9,0.007944633293119695,0.8902877697841727,0.8476798094087911,0.10556515749115095,0.8920863309352518,0.595721653365457,0.0002
10,0.007345294449210381,0.9118705035971223,0.8313998586912403,0.09834480040418588,0.8920863309352518,0.595721653365457,0.0001
11,0.004563335384570545,0.947841726618705,0.9009432148926296,0.12337308369406076,0.920863309352518,0.6336924939467312,0.0001
12,0.0034696970657586194,0.9442446043165468,0.8970636793232213,0.1301253971278587,0.9280575539568345,0.6422920433996384,0.0001
